person_id,trip_index,departure_time,arrival_time,preceding_purpose,following_purpose,ox,oy,dx,dy,abm_region,age,employed,sex,socioprofessional_class,has_driving_license,has_pt_subscription,trip_id,origin_abm_region,destination_abm_region,inner_trip
4398644,4,61531.0,61831.0,home,other,1.9397469,48.57086698,1.94750272,48.56871112,3,46,True,female,4,True,False,1957482,3.0,3.0,True
4398644,5,61891.0,62431.0,other,home,1.94750272,48.56871112,1.9397469,48.57086698,3,46,True,female,4,True,False,1957483,3.0,3.0,True
4398644,6,66931.0,67231.0,home,shop,1.9397469,48.57086698,1.93870606,48.56547934,3,46,True,female,4,True,False,1957484,3.0,3.0,True
4398644,7,68731.0,69031.0,shop,home,1.93870606,48.56547934,1.9397469,48.57086698,3,46,True,female,4,True,False,1957485,3.0,3.0,True
4391029,6,79649.0,80249.0,leisure,home,1.94296986,48.56649385,1.92810803,48.5673265,3,52,True,female,4,True,False,2057195,3.0,3.0,True
4434986,6,63828.0,64128.0,home,other,1.93518,48.56838898,1.91983334,48.57112152,3,58,False,male,6,True,False,2170186,3.0,3.0,True
4434986,7,65028.0,65328.0,other,home,1.91983334,48.57112152,1.93518,48.56838898,3,58,False,male,6,True,False,2170187,3.0,3.0,True
4432973,1,31043.0,31103.0,other,other,1.94217979,48.57677282,1.92030464,48.57296553,3,44,True,male,3,True,False,2202131,3.0,3.0,True
4432973,0,30383.0,30983.0,home,other,1.92810706,48.56765398,1.94217979,48.57677282,3,44,True,male,3,True,False,2202132,3.0,3.0,True
4405284,2,41285.0,41585.0,shop,home,1.93960208,48.57209372,1.94177113,48.57482567,3,71,False,female,7,True,False,2208667,3.0,3.0,True
4382435,0,30277.0,30577.0,home,other,1.92704444,48.56590229,1.94887974,48.5696733,3,33,True,female,4,True,False,2222799,3.0,3.0,True
4375305,3,64800.0,65100.0,home,shop,1.93337896,48.56826796,1.93317521,48.57003316,3,38,True,male,4,True,False,2256466,3.0,3.0,True
4375305,4,65220.0,65520.0,shop,home,1.93317521,48.57003316,1.93337896,48.56826796,3,38,True,male,4,True,False,2256467,3.0,3.0,True
4443058,5,66071.0,66971.0,shop,home,1.93317521,48.57003316,1.95397104,48.57033099,3,39,True,female,3,True,False,2308831,3.0,3.0,True
4443058,4,65171.0,65471.0,other,shop,1.93218713,48.56850367,1.93317521,48.57003316,3,39,True,female,3,True,False,2308832,3.0,3.0,True
5212764,4,65894.0,66194.0,other,other,1.94750272,48.56871112,1.94064111,48.58090627,3,31,True,female,4,True,False,2414630,3.0,3.0,True
4408968,3,62222.0,63122.0,other,home,1.94887974,48.5696733,1.93993904,48.57499287,3,44,False,female,4,True,False,2475836,3.0,3.0,True
4433027,3,56772.0,57372.0,home,other,1.93481155,48.57676978,1.93153217,48.57282398,3,21,False,female,5,False,False,2488277,3.0,3.0,True
4433027,4,57672.0,58572.0,other,home,1.93153217,48.57282398,1.93481155,48.57676978,3,21,False,female,5,False,False,2488278,3.0,3.0,True
4394698,0,29792.0,30092.0,home,other,1.92775903,48.56723999,1.94398403,48.57094609,3,38,True,female,5,True,False,2513297,3.0,3.0,True
4394698,5,66992.0,67292.0,other,home,1.94887974,48.5696733,1.92775903,48.56723999,3,38,True,female,5,True,False,2513298,3.0,3.0,True
4417638,5,62649.0,63369.0,home,other,1.94386317,48.57525104,1.94142212,48.56922151,3,23,True,female,5,True,False,2538143,3.0,3.0,True
4417638,6,63669.0,64269.0,other,home,1.94142212,48.56922151,1.94386317,48.57525104,3,23,True,female,5,True,False,2538144,3.0,3.0,True
4393536,2,82069.0,82369.0,home,leisure,1.93738799,48.57566201,1.9384891,48.57376788,3,57,True,male,3,True,True,2551261,3.0,3.0,True
