person_id,trip_index,departure_time,arrival_time,preceding_purpose,following_purpose,ox,oy,dx,dy,abm_region,age,employed,sex,socioprofessional_class,has_driving_license,has_pt_subscription,trip_id,origin_abm_region,destination_abm_region,inner_trip
4295288,0,29422.0,29722.0,home,other,1.90225947,48.8574216,1.90647129,48.86021674,17,38,True,female,6,True,False,2025652,17.0,17.0,True
4274764,2,69871.0,70471.0,shop,home,1.91029003,48.85892055,1.87814299,48.85017403,17,51,True,male,4,True,False,2034073,17.0,17.0,True
4264506,4,66296.0,66596.0,home,leisure,1.87508588,48.86310911,1.87912275,48.85173237,17,20,False,male,8,False,False,2049210,17.0,17.0,True
4264506,5,69896.0,70376.0,leisure,home,1.87912275,48.85173237,1.87508588,48.86310911,17,20,False,male,8,False,False,2049211,17.0,17.0,True
4286273,2,46245.0,46365.0,home,other,1.90802515,48.85785133,1.87574896,48.85964432,17,34,True,female,5,True,False,2049253,17.0,17.0,True
4297819,0,35875.0,36175.0,home,shop,1.88119417,48.85073277,1.87799928,48.85199346,17,73,False,female,7,True,False,2049272,17.0,17.0,True
4297819,1,38575.0,38875.0,shop,home,1.87799928,48.85199346,1.88119417,48.85073277,17,73,False,female,7,True,False,2049273,17.0,17.0,True
4269837,4,69787.0,70087.0,shop,home,1.91029003,48.85892055,1.87304306,48.85637398,17,33,True,female,3,True,False,2050712,17.0,17.0,True
4269837,3,68887.0,69487.0,other,shop,1.88859439,48.84802915,1.91029003,48.85892055,17,33,True,female,3,True,False,2050713,17.0,17.0,True
4269837,2,65287.0,65587.0,home,other,1.87304306,48.85637398,1.88859439,48.84802915,17,33,True,female,3,True,False,2050714,17.0,17.0,True
4280555,0,36725.0,37025.0,home,shop,1.87587985,48.8614151,1.87367554,48.85606954,17,34,True,male,4,True,True,2050735,17.0,17.0,True
4280555,1,38525.0,38825.0,shop,home,1.87367554,48.85606954,1.87587985,48.8614151,17,34,True,male,4,True,True,2050736,17.0,17.0,True
4283857,2,63503.0,63803.0,home,leisure,1.87125702,48.86583997,1.87327155,48.85650393,17,2,False,female,8,False,True,2050742,17.0,17.0,True
4283857,3,69503.0,69803.0,leisure,home,1.87327155,48.85650393,1.87125702,48.86583997,17,2,False,female,8,False,True,2050743,17.0,17.0,True
4290262,2,56600.0,57200.0,home,other,1.87229996,48.85630402,1.87477934,48.86218953,17,48,False,male,5,True,False,2050754,17.0,17.0,True
4290262,3,57800.0,58400.0,other,home,1.87477934,48.86218953,1.87229996,48.85630402,17,48,False,male,5,True,False,2050755,17.0,17.0,True
4295494,2,70243.0,70543.0,home,shop,1.87315201,48.85674997,1.90583075,48.8559146,17,44,True,female,3,True,True,2050764,17.0,17.0,True
4295494,3,71143.0,71503.0,shop,home,1.90583075,48.8559146,1.87315201,48.85674997,17,44,True,female,3,True,True,2050765,17.0,17.0,True
4246715,3,60086.0,60386.0,home,shop,1.89998331,48.8553752,1.87912275,48.85173237,17,45,True,female,3,True,False,2115418,17.0,17.0,True
4246715,4,63986.0,64286.0,shop,home,1.87912275,48.85173237,1.89998331,48.8553752,17,45,True,female,3,True,False,2115419,17.0,17.0,True
4263821,4,69202.0,69502.0,home,leisure,1.88173694,48.85209303,1.87912275,48.85173237,17,33,True,female,3,True,False,2125311,17.0,17.0,True
4263821,5,74302.0,74602.0,leisure,home,1.87912275,48.85173237,1.88173694,48.85209303,17,33,True,female,3,True,False,2125312,17.0,17.0,True
4247129,3,57425.0,57725.0,home,other,1.89585926,48.85313516,1.88554726,48.84318873,17,12,False,male,8,False,False,2241373,17.0,17.0,True
4247129,4,58025.0,58325.0,other,home,1.88554726,48.84318873,1.89585926,48.85313516,17,12,False,male,8,False,False,2241374,17.0,17.0,True
4142701,2,43675.0,43975.0,work,shop,1.8741009,48.86188032,1.87912275,48.85173237,17,39,False,female,5,True,False,2242518,17.0,17.0,True
4142701,3,45475.0,45775.0,shop,work,1.87912275,48.85173237,1.8741009,48.86188032,17,39,False,female,5,True,False,2242519,17.0,17.0,True
4142701,4,65275.0,65875.0,work,other,1.8741009,48.86188032,1.87944804,48.85003534,17,39,False,female,5,True,False,2242520,17.0,17.0,True
4256019,4,65463.0,65763.0,home,leisure,1.8751229,48.85159487,1.87663563,48.85026422,17,24,False,male,8,False,False,2318066,17.0,17.0,True
4256019,5,69063.0,69543.0,leisure,home,1.87663563,48.85026422,1.8751229,48.85159487,17,24,False,male,8,False,False,2318067,17.0,17.0,True
4271786,0,54577.0,56977.0,home,other,1.89816571,48.85088028,1.84942072,48.83766401,17,43,True,female,3,True,False,2357505,17.0,17.0,True
4271195,2,68539.0,68959.0,home,shop,1.88655204,48.8482712,1.90583075,48.8559146,17,56,True,male,3,True,True,2359579,17.0,17.0,True
4271195,3,71539.0,71959.0,shop,home,1.90583075,48.8559146,1.88655204,48.8482712,17,56,True,male,3,True,True,2359580,17.0,17.0,True
4125220,4,53052.0,53292.0,other,other,1.87778808,48.85626261,1.88072681,48.85162767,17,70,False,female,7,True,False,2380180,17.0,17.0,True
4243060,3,60043.0,60343.0,home,other,1.87275183,48.85692636,1.90647129,48.86021674,17,12,False,male,8,False,False,2389455,17.0,17.0,True
4243060,4,60643.0,60943.0,other,home,1.90647129,48.86021674,1.87275183,48.85692636,17,12,False,male,8,False,False,2389456,17.0,17.0,True
4243060,5,63343.0,63643.0,home,other,1.87275183,48.85692636,1.87477934,48.86218953,17,12,False,male,8,False,False,2389458,17.0,17.0,True
4243060,6,63703.0,64003.0,other,home,1.87477934,48.86218953,1.87275183,48.85692636,17,12,False,male,8,False,False,2389459,17.0,17.0,True
